Productname,AmazonRating,FlipkartRating
HP Laptop 15 i5,4.1,3.8
HP Victus,3.7,3.3
HP Pavilion,3.5,3.7
HP 247,3.1,3.4
HP Chromebook,3.1,2.9
,,
,,
,,
,,
