Productname,AmazonPrice,FlipkartPrice
Dell Inspiron 7430,"64,490","82,990"
Dell Inspiron 5430,"86,149","89,965"
Dell Inspiron 5630,"75,990","69,990"
Dell inspiron 3511,"50,999","49,990"
Dell XPS,"1,21,400","1,14,990"
