Productname,AmazonRating,FlipkartRating
LG 80cm Dark Iron Gray,3.7,3.8
LG 126cm Dark Iron Gray,3.9,3.7
LG 164cm Dark Iron Gray,3.6,3.5
LG 108cm Dark Iron Gray,4.1,3.9
LG 121cm Rocky Black,3.9,3.8
,,
,,
,,
,,
