Productname,AmazonPrice,FlipkartPrice
Redmi 10,"12,499","9,999"
Redmi  A2,"6,499","6,645"
Redmi  11 Prime,"8,999","10,999"
Redmi  Note 12 5G,"18,999","13,999"
Redmi  12 c,"8,499","8,555"
Redmi  Note 12 Pro 5G,"24,999","23,999"
Redmi  Note 11T 5G,"18,499","20,649"
Redmi  9,"8,999","10,999"
