Productname,AmazonPrice,FlipkartPrice
LG 80cm Dark Iron Gray,"13,490","16,999"
LG 126cm Dark Iron Gray,"40,990","40,990"
LG 164cm Dark Iron Gray,"71,990","68,990"
LG 108cm Dark Iron Gray,"34,990","28,990"
LG 121cm Rocky Black,"75,990","85,990"
