Productname,AmazonPrice,FlipkartPrice
Lenovo IdeaPad Slim 3 i5,"55,490","46,990"
Lenovo IdeaPad Slim 5 i5,"56,990","70,990"
Lenovo IdeaPad Slim 3 i7,"62,990","53,700"
Lenovo IdeaPad Gaming 3 i5,"54,990","55,499"
Lenovo Legion 5 AMD Ryzen 7,"97,999","84,990"
