Productname,AmazonPrice,FlipkartPrice
Samsung 163cm Black,"71,990","74,990"
Samsung 108cm ,"32,990","29,990"
Samsung 80cm Glossy Black,"13,990","13,990"
Samsung 138cm ,"47,990","49,990"
