Productname,AmazonPrice,FlipkartPrice
HP Laptop 15 i5,"65,990","67,990"
HP Victus,"56,990","61,990"
HP Pavilion,"53,900","51,900"
HP 247,"23,390","24,490"
HP Chromebook,"18,990","21,990"
