Productname,AmazonPrice,FlipkartPrice
Sony Bravia 108cm,"41,990","41,990"
Sony Bravia 80cm,"25,990","25,990"
Sony Bravia 126cm,"54,990","56,990"
Sony Bravia 139cm,"1,24,990","74,690"
