Productname,AmazonPrice,FlipkartPrice
Apple iPhone 11,"37,999","40,999"
Apple iPhone 12,"51,990","50,999"
Apple iPhone 13,"58,999","58,999"
Apple iPhone 14 pro max Black,"1,27,999","1,27,999"
Apple iPhone 14 pro max Gold,"1,37,999","1,37,999"
