Productname,AmazonRating,FlipkartRating
Samsung Galaxy M04,4.1,4.2
Samsung Galaxy M13,3.9,3.8
Samsung Galaxy F13,3.8,3.6
Samsung Galaxy A14,3.9,3.7
Samsung Galaxy S20 FE,3.7,3.5
Samsung Galaxy S23,4.2,3.9
,,
,,
,,
