Productname,AmazonRating,FlipkartRating
Samsung 163cm Black,4.1,4.3
Samsung 108cm ,3.9,3.7
Samsung 80cm Glossy Black,3.6,3.5
Samsung 138cm ,3.8,3.7
,,
,,
,,
,,
,,
