Productname,AmazonRating,FlipkartRating
Lenovo IdeaPad Slim 3 i5,3.4,3.3
Lenovo IdeaPad Slim 5 i5,3.5,3.5
Lenovo IdeaPad Slim 3 i7,3.2,3.7
Lenovo IdeaPad Gaming 3 i5,3.1,3.5
Lenovo Legion 5 AMD Ryzen 7,3.4,3.2
,,
,,
,,
,,
