Productname,AmazonRating,FlipkartRating
Dell Inspiron 7430,3.9,3.7
Dell Inspiron 5430,3.5,3.3
Dell Inspiron 5630,3.4,3.6
Dell inspiron 3511,3.3,3.6
Dell XPS,3.8,3.7
,,
,,
,,
,,
